,id,name_x,name_y,year,status,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under_five_deaths,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,schooling
26,BDI,Burundi,Burundi,2013,Developing,58.6,33,22,0.01,40.15128458,96,0,20.9,32,96,8.3,96,1,282.7555252,9863117,7.4,7.4,0.398,10.5
27,KHM,Cambodia,Cambodia,2013,Developing,67.8,183,11,0.01,8.758214538,83,0,21.9,13,66,5.93,83,0.2,128.419568,14753320,11,11.1,0.546,10.8
28,CMR,Cameroon,Cameroon,2013,Developing,56.4,364,48,0.01,63.07890158,89,760,24.4,73,88,4.29,89,4,1365.34419,19294149,5.8,5.8,0.501,10.4
29,CAN,Canada,Canada,2013,Developing,81.8,67,2,8.2,9733.228019,55,83,27.2,2,91,1.67,91,0.1,52413.72116,33759742,0.5,0.5,0.909,15.9
30,CAF,Central African Republic,Central African Republic,2013,Developing,49.9,451,16,0.01,52.37766601,23,596,22.4,23,23,3.82,23,5.1,337.4849614,4844927,8.5,8.5,0.37,7.1
31,TCD,Chad,Chad,2013,Developing,52.2,366,46,0.64,76.52382535,39,226,22.3,78,46,3.42,39,3.1,986.13177,10543464,8.8,8.7,0.387,7.3
32,CHL,Chile,Chile,2013,Developing,81,84,2,7.2,2442.222054,9,0,27.8,2,9,7.53,91,0.1,15941.39722,16746491,0.8,0.8,0.831,15.6
33,CHN,China,China,2013,Developing,75.6,88,185,5.79,9.955532032,99,26883,23.9,216,99,5.39,99,0.1,777.77594,1330141295,3.8,3.2,0.713,12.7
34,COL,Colombia,Colombia,2013,Developing,74.4,145,11,4.41,15.16255482,91,1,25.9,13,91,6.84,91,0.1,83.5863,44205293,2.1,1.9,0.712,13.3
35,160,Comoros,Comoros,2013,Developing,62.9,233,1,0.01,61.57443584,88,0,24.1,2,85,6.51,87,0.8,834.341949,7415,6.8,6.6,0.49,10.9
36,COD,"Congo, Democratic Republic of the",Democratic Republic of the Congo,2013,Developing,58.8,272,238,0.01,0,74,88381,22.2,314,74,3.89,74,1.2,676,70916439,9.9,9.6,,
37,COG,"Congo, Republic of the",Congo,2013,Developing,63.9,274,7,0.01,0,85,124,23.3,10,85,5.9,85,3,676,4125916,7.7,7.4,0.576,11.1
38,CRI,Costa Rica,Costa Rica,2013,Developing,79.4,96,1,3.42,386.1379123,94,0,26.9,1,95,9.47,95,0.1,1569.66631,4516220,1.7,1.7,0.762,13.7
39,CIV,Cote d'Ivoire,Côte d'Ivoire,2013,Developing,52.3,412,59,3.15,0,8,48,26.8,81,79,5.81,8,2.4,1415.87,21058798,5.8,5.7,,
40,HRV,Croatia,Croatia,2013,Developed,77.7,97,0,12.39,1899.107385,96,0,25.5,0,96,7.83,96,0.1,13574.749,4486881,1.5,1.5,0.817,14.9
41,CUB,Cuba,Cuba,2013,Developing,78.7,96,1,4.18,95.67571176,96,0,26.2,1,99,9.48,99,0.1,676.15344,11477459,3.4,3.3,0.773,14.7
42,CYP,Cyprus,Cyprus,2013,Developed,81,54,0,9.04,212.0859259,96,0,27,0,99,7.46,99,0.1,2797.96736,1102677,0.9,1,0.85,13.8
43,CZE,Czech Republic,Czechia,2013,Developed,78.2,9,0,12.45,0,99,15,26.9,0,99,7.49,98,0.1,"20,133",10201707,1.8,1.9,,
44,DNK,Denmark,Denmark,2013,Developed,81,75,0,9.5,10261.763,0,17,25.3,0,94,11.25,94,0.1,61191.19263,5515575,1.1,0.9,0.924,18.7
45,DJI,Djibouti,Djibouti,2013,Developing,62.7,256,1,0.53,229.4410095,82,28,23.3,2,82,9.14,82,2.1,1622.637974,740528,5.6,5.4,0.464,6.3
46,DOM,Dominica,Dominican Republic,2013,Developing,73.4,157,6,5.93,97.52211538,8,0,27,7,82,4.12,83,0.3,627.55544,72813,3.3,3.2,0.709,13.2
47,DOM,Dominican Republic,Dominican Republic,2013,Developing,73.4,157,6,5.93,97.52211538,8,0,26.7,7,82,4.12,83,0.3,627.55544,9794487,3.3,3.2,0.709,13.2
48,ECU,Ecuador,Ecuador,2013,Developing,76,121,6,3.77,59.12850204,87,0,27,8,87,7.29,87,0.1,674.9829,14790608,1.3,1.1,0.725,13.4
49,EGY,Egypt,Egypt,2013,Developing,79,159,54,0.21,0,97,405,29.2,63,97,5.46,97,0.1,3262.66,80471869,2.9,2.8,0.681,12.8
50,SLV,El Salvador,El Salvador,2013,Developing,73,184,2,2.42,653.6925016,92,0,27.4,2,92,6.95,92,0.2,3895.664491,6052064,1.6,1.6,0.675,13.2
51,GNQ,Equatorial Guinea,Equatorial Guinea,2013,Developing,57.4,327,3,10.72,156.3907685,0,321,25.6,4,3,3.73,3,5.7,2246.9938,650702,8.6,8.6,0.586,9.2
52,ERI,Eritrea,Eritrea,2013,Developing,64,266,6,0.01,0,94,45,20.5,8,94,3.1,94,0.5,392,5792984,8.6,8.4,0.414,5
53,EST,Estonia,Estonia,2013,Developing,76.9,127,0,0.01,261.2914808,93,2,25.5,0,94,6.48,94,0.1,1929.7746,1291170,1.9,1.9,0.856,16.5
54,ETH,Ethiopia,Ethiopia,2013,Developing,63.7,237,145,1.86,8.313282039,72,5253,20.6,211,7,5.19,72,0.9,52.1535887,88013491,1.6,1.4,0.427,8.4
55,FJI,Fiji,Fiji,2013,Developing,69.6,192,0,0.01,460.6487805,99,0,27.2,0,99,4.26,99,0.1,4763.68956,957780,4,3.7,0.719,15
56,FIN,Finland,Finland,2013,Developing,87,79,0,8.97,6115.496624,0,2,25.9,0,98,9.55,98,0.1,49638.7713,5255068,0.9,0.8,0.887,17
57,FRA,France,France,2013,Developing,82,81,3,11.1,6646.953935,74,272,25.3,3,99,11.56,99,0.1,42554.1225,64057792,0.6,0.6,0.887,16.2
58,GAB,Gabon,Gabon,2013,Developing,64.6,255,2,8.86,154.8758879,79,122,25.5,3,77,3.98,79,3.7,9679.742995,1545255,6.2,6.1,0.678,12.5
59,GMB,"Gambia, The",Gambia,2013,Developing,66,266,3,0.01,0,97,0,24,5,96,6.49,97,1.6,700,1824158,7.6,7.5,0.445,8.9
60,GEO,Georgia,Georgia,2013,Developing,74.5,128,1,5.91,180.3787034,96,7872,27.2,1,94,7.25,93,0.1,4274.376857,4600825,2.7,2.8,0.755,13.5
61,DEU,Germany,Germany,2013,Developed,86,71,2,10.94,895.8779503,88,1771,26.3,3,94,11.16,95,0.1,4653.91143,82282988,1.1,1.1,0.919,16.9
62,GHA,Ghana,Ghana,2013,Developing,61.9,254,38,0.01,28.66897829,9,319,24.2,55,91,4.63,9,0.9,1814.492297,24339838,6.6,6.4,0.57,11.5
63,GRC,Greece,Greece,2013,Developing,86,74,0,7.46,2183.106986,98,3,27.3,0,99,9.26,99,0.1,21874.8195,10749943,0.8,0.7,0.86,17.1
64,190,Grenada,Grenada,2013,Developing,73.3,144,0,8.25,780.4459281,97,0,27,0,98,6.15,97,0.1,7955.615985,108172,3.8,3.8,0.746,15.8
65,GTM,Guatemala,Guatemala,2013,Developing,71.4,189,11,1.93,582.1469583,85,0,26.5,13,84,6.3,85,0.4,3452.828934,13550440,1.2,1.2,0.611,10.7
66,GIN,Guinea,Guinea,2013,Developing,58.8,284,27,0.01,5.140668848,63,53,22.7,41,63,5.49,63,1,54.169324,10324025,7.7,7.6,0.406,8.5
67,GNB,Guinea-Bissau,Guinea-Bissau,2013,Developing,58.1,279,4,0.01,8.20063742,87,0,23.1,6,87,6.14,87,4.5,61.566347,1565126,7.5,7.3,0.415,9.1
68,GUY,Guyana,Guyana,2013,Developing,65.9,218,0,7.56,345.9044258,98,0,26.3,1,98,5.1,98,0.3,3944.178173,748486,5.5,5.3,0.633,10.3
69,HTI,Haiti,Haiti,2013,Developing,62.7,253,14,5.68,4.989712322,68,0,24.1,19,67,8.1,68,0.5,81.265673,9203083,3.9,3.9,0.483,9.1
70,HND,Honduras,Honduras,2013,Developing,74.3,15,4,3.11,311.7553193,97,0,26.4,4,97,9.15,97,0.4,2136.77395,7989415,2.2,2.1,0.614,11.6
71,HUN,Hungary,Hungary,2013,Developed,75.5,139,0,10.88,155.1952076,0,1,26.3,1,99,7.53,99,0.1,13613.6147,9880059,1.7,1.7,0.824,15.4
72,ISL,Iceland,Iceland,2013,Developed,82.4,5,0,7.31,764.5440691,0,0,25.9,0,91,8.75,91,0.1,4781.3888,308910,1,0.9,0.907,19
73,IND,India,India,2013,Developing,67.6,187,1000,3.11,67.67230438,7,13822,21.9,1300,82,4.53,83,0.2,1452.195373,1173108018,26.8,27.5,0.599,11.5
74,IDN,Indonesia,Indonesia,2013,Developing,68.7,181,124,0.09,22.8478308,85,8419,22.9,148,86,2.93,85,0.3,362.663981,242968342,1.5,1.3,0.677,12.9
75,IRN,Iran,Iran (Islamic Republic of),2013,Developing,75.3,83,20,0.01,0,99,189,26.2,23,98,6.49,98,0.1,6018,67037517,8.2,8.3,0.769,15
76,IRQ,Iraq,Iraq,2013,Developing,69.5,17,32,0.01,447.3695001,66,669,28,39,7,5.92,68,0.1,6925.22446,29671605,5.3,5.1,0.659,10.3
77,IRL,Ireland,Ireland,2013,Developed,81,67,0,10.49,703.5527332,95,51,27.5,0,96,8.1,96,0.1,5234.76736,4250163,0.3,0.2,0.902,18.6
78,ISR,Israel,Israel,2013,Developing,82.1,61,1,2.69,4279.895512,97,50,26.3,1,96,7.89,96,0.1,36393.66932,7353985,1.2,1.1,0.891,15.9
79,ITA,Italy,Italy,2013,Developed,82.3,58,2,7.35,483.1916844,96,0,26,2,96,9.22,96,0.1,3537.27441,58090681,0.5,0.6,0.876,16.5
80,JAM,Jamaica,Jamaica,2013,Developing,75.6,136,1,3.79,5.457289334,93,0,27.4,1,86,5.91,93,0.6,56.144952,2847232,1.8,1.7,0.727,12.8
81,JPN,Japan,Japan,2013,Developed,83.5,56,2,7.55,94.43428615,0,229,22.6,3,99,1.25,96,0.1,4454.44746,126804433,2,1.7,0.894,15.3
82,JOR,Jordan,Jordan,2013,Developing,73.9,114,4,0.4,546.6235156,98,120,28.9,4,98,7.23,98,0.1,3992.86717,6407085,3.9,3.9,0.737,13.1
83,KAZ,Kazakhstan,Kazakhstan,2013,Developing,69.5,28,5,6.48,26.4072659,99,73,27.4,6,98,4.3,98,0.1,1389.8561,15460484,2.4,2.5,0.782,15
84,KEN,Kenya,Kenya,2013,Developing,62.6,258,58,1.84,165.9304977,93,190,23,81,94,5.57,87,3,1229.114798,40046566,7.9,7.7,0.541,11.1
85,194,Kiribati,Kiribati,2013,Developing,65.8,22,0,0.01,137.2591943,95,0,29.6,0,91,1.15,95,0.1,1724.361737,18535,0.1,0.1,0.589,11.9
86,PRK,"Korea, North",Republic of Korea,2013,Developing,81.7,68,1,9.33,0,99,107,21.8,2,99,7.2,99,0.1,664,22757275,1.5,1,,
87,KOR,"Korea, South",Democratic People's Republic of Korea,2013,Developing,71,146,6,3.35,0,93,0,23.9,8,99,,93,0.1,27182,48636068,5,5,,
88,KWT,Kosovo,Kuwait,2013,Developing,74.5,83,1,0.01,2792.677582,99,62,24,1,99,2.56,99,0.1,48399.9581,1815048,3.4,3.3,0.796,13.1
89,KWT,Kuwait,Kuwait,2013,Developing,74.5,83,1,0.01,2792.677582,99,62,30,1,99,2.56,99,0.1,48399.9581,2789132,3.4,3.3,0.796,13.1
90,KGZ,Kyrgyzstan,Kyrgyzstan,2013,Developing,77,174,3,0.01,0,97,1,26.2,4,97,6.68,97,0.1,1282,5508626,3.3,3.3,0.647,12.5
91,LAO,Laos,Lao People's Democratic Republic,2013,Developing,64.9,23,9,0.01,0,87,71,22.6,12,86,2,87,0.3,1825,6993767,9,9.1,0.563,10.4
92,LVA,Latvia,Latvia,2013,Developed,74.1,161,0,10.37,150.3116884,94,0,25.8,0,94,5.67,94,0.1,1532.22924,2217969,2.2,2.2,0.814,15.4
93,LBN,Lebanon,Lebanon,2013,Developing,74.9,97,1,1.29,14.55610463,81,1761,27.8,1,75,6.63,81,0.1,846.285153,4125247,4.8,4.8,0.766,13.3
94,LSO,Lesotho,Lesotho,2013,Developing,52.1,518,4,0.01,153.3443147,93,516,24.9,6,9,11.7,93,9.6,1196.1335,1919552,6.1,5.9,0.484,11.1
95,LBR,Liberia,Liberia,2013,Developing,61.1,258,9,0.01,45.04892458,76,0,24,11,75,9.25,76,1.1,454.1222236,3685076,6.8,6.7,0.419,9.8
96,LBY,Libya,Libya,2013,Developing,72.9,134,2,0.01,0,96,0,28.4,2,96,4.33,96,0.1,10363,6461454,5.7,5.5,0.735,13.4
97,LTU,Lithuania,Lithuania,2013,Developed,73,178,0,15.04,1968.816817,93,35,26.6,0,93,6.59,93,0.1,15712.82376,3545319,2.7,2.7,0.834,16.4
98,LUX,Luxembourg,Luxembourg,2013,Developed,81.4,68,0,11.02,15515.75234,94,0,26.5,0,99,7.1,99,0.1,113751.85,497538,0.9,0.9,0.892,13.9
99,MDG,Madagascar,Madagascar,2013,Developing,64.7,23,29,0.87,79.50882493,74,6,21.1,40,73,4.15,74,0.4,461.723722,21281844,7.3,7.2,0.508,10.3
100,MWI,Malawi,Malawi,2013,Developing,56.7,394,29,0.01,55.83107625,89,1,22.8,42,89,1.96,89,6.3,332.922339,15447500,6.5,6.4,0.459,10.7
101,MYS,Malaysia,Malaysia,2013,Developing,74.6,128,3,0.53,110.6779711,96,195,25.3,4,97,4.2,97,0.1,1882.27842,26160256,7.8,7.6,0.779,12.9
102,174,Maldives,Maldives,2013,Developing,77.9,64,0,0.01,1626.591186,99,0,25.1,0,99,11.16,99,0.1,7112.33575,393,13.7,13.8,0.683,12.4
103,MLI,Mali,Mali,2013,Developing,57.3,275,53,0.01,36.86104319,69,221,22.8,86,7,6.58,69,1.6,777.659139,13796354,8.1,7.9,0.421,8
104,173,Malta,Malta,2013,Developed,81.1,57,0,8.58,374.2947283,94,0,27.2,0,99,9.89,99,0.1,2393.1888,423374,0.8,0.7,0.828,14.2
105,203,Marshall Islands,Marshall Islands,2013,Developing,65.24,,0,0.01,871.8783173,8,0,29.2,0,79,17.24,79,0.1,3617.752354,56933,0.1,0.1,,0
106,MRT,Mauritania,Mauritania,2013,Developing,62.7,28,8,0.01,8.88028118,8,62,24.8,12,8,3.63,8,1.1,145.57838,3205060,8.1,7.9,0.501,8.2
107,153,Mauritius,Mauritius,2013,Developing,74.1,147,0,0.01,917.467628,98,0,25.6,0,98,4.82,98,0.1,9637.265,1258653,7,7,0.765,14.7
108,MEX,Mexico,Mexico,2013,Developing,76.6,12,32,5.23,150.408875,82,0,28.1,37,83,6.3,83,0.1,1298.86766,112468855,1.6,1.5,0.753,12.9
109,191,"Micronesia, Federated States of",Micronesia (Federated States of),2013,Developing,69.2,166,0,1.67,0,83,0,29.4,0,81,13.38,81,0.1,2994,105922,0.2,0.2,0.641,11.7
110,MDA,Moldova,Republic of Moldova,2013,Developing,71.7,163,1,10.49,0,91,27,26.7,1,92,1.5,9,0.1,3322,4317483,2.7,2.9,,
111,212,Monaco,Monaco,2013,Developing,89.63,,0,0.01,0,99,0,24.9,0,99,4.3,99,0.1,177673,36899,,,,
112,MNG,Mongolia,Mongolia,2013,Developing,68.1,227,1,0.01,241.1958645,98,0,26,1,98,4.21,98,0.1,4385.379355,3086918,2.2,2.3,0.72,14.7
113,MNE,Montenegro,Montenegro,2013,Developing,75.8,19,0,0.01,707.144691,9,0,26,0,94,6.43,94,0.1,7186.429787,666730,1.8,1.9,0.799,15.1
114,MOZ,Mozambique,Mozambique,2013,Developing,55.3,46,62,1.16,5.813338496,78,8,22.3,87,78,5.9,78,5.1,65.985681,22061451,3.6,3.5,0.405,9.1
115,NAM,Namibia,Namibia,2013,Developing,66.1,232,3,0.01,760.6550553,89,1028,24.3,3,89,8.53,89,2.5,5488.131712,2128471,9,8.9,0.625,11.6
116,222,Nauru,Nauru,2013,Developing,59.7,,0,0.01,15.60659587,87,0,32.5,0,87,4.65,87,0.1,136.18321,10208,0.1,0.1,,9.6
117,NPL,Nepal,Nepal,2013,Developing,69.3,162,19,0.27,80.15505125,92,1861,22.2,24,92,5.69,92,0.1,688.6172788,28951852,16.1,16.5,0.545,12.3
118,NLD,Netherlands,Netherlands,2013,Developed,81.4,6,1,8.68,1475.030397,51,2632,25.4,1,97,11.4,97,0.1,51574.48942,16783092,1,0.9,0.922,18.1
119,NZL,New Zealand,New Zealand,2013,Developed,81.3,69,0,9.18,10019.0763,93,8,27.9,0,92,11.17,92,0.1,42889.88141,4252277,0.3,0.3,0.908,19.3
120,NIC,Nicaragua,Nicaragua,2013,Developing,73.9,157,2,3.58,366.4841804,98,0,26.9,3,99,8.43,98,0.1,1847.19849,5995928,1.8,1.7,0.63,11.5
121,NER,Niger,Niger,2013,Developing,69,227,49,0.01,31.50243237,67,1224,21.7,89,56,5.9,67,0.6,416.14838,15878271,1,9.9,0.341,5.3
122,NGA,Nigeria,Nigeria,2013,Developing,53.2,367,498,8.3,194.2032879,46,52852,23.4,773,46,3.7,46,3.9,2996.96432,152217341,1.4,1.2,0.514,9.8
123,234,Niue,Niue,2013,Developing,73.6,,0,0.01,0,99,0,26,0,99,7.2,99,0.1,6957,1642,0.1,0.1,,
124,NOR,Norway,Norway,2013,Developed,81.5,62,0,6.21,234.782883,0,8,26,0,94,9.39,94,0.1,1291.435,4676305,0.8,0.7,0.942,17.5
125,OMN,Oman,Oman,2013,Developing,76.2,12,1,0.46,1154.893473,98,0,26.9,1,99,2.76,98,0.1,21268.7564,2967717,7,6.8,0.796,13.7
126,PAK,Pakistan,Pakistan,2013,Developing,66,163,365,0.04,60.18648815,72,8749,23.8,450,72,2.7,72,0.1,1272.44161,177276594,19.6,2,0.538,7.7
127,217,Palau,Palau,2013,Developing,69.13,,0,,344.6906308,99,0,29.4,0,99,9.27,99,0.1,1932.12237,292,0.1,0.1,0.779,14.2
128,PAN,Panama,Panama,2013,Developing,77.5,118,1,6.89,1694.467075,8,0,27.1,1,81,8.9,8,0.1,11685.97983,3410676,1.9,1.9,0.773,12.9
129,PNG,Papua New Guinea,Papua New Guinea,2013,Developing,62.4,281,10,0.01,25.70881695,73,12,25.3,13,8,4.78,79,0.8,229.95364,6064515,1.3,1.3,0.506,10
130,PRY,Paraguay,Paraguay,2013,Developing,73.8,148,3,5.03,573.4346982,86,0,25.8,3,8,1.49,86,0.2,4479.95858,6375830,2,1.9,0.679,12.3
131,PER,Peru,Peru,2013,Developing,75.3,125,8,5.38,946.6521165,88,0,26.3,11,71,5.23,88,0.1,6583.116248,29907003,1.1,1.1,0.731,13.4
132,PHL,Philippines,Philippines,2013,Developing,68.1,219,55,4.61,24.58973399,89,2920,23.2,69,84,4.56,89,0.1,276.289146,99900177,1,9.7,0.671,11.7
133,POL,Poland,Poland,2013,Developed,77.1,12,2,11.63,23.43533487,96,84,26.4,2,95,6.4,99,0.1,1378.54911,38463689,2,2.1,0.838,15.4
134,PRT,Portugal,Portugal,2013,Developed,86,79,0,10,2698.01817,98,1,26.2,0,98,9.55,98,0.1,21618.73534,10735765,0.7,0.5,0.827,16.3
135,QAT,Qatar,Qatar,2013,Developing,77.9,7,0,1.2,515.0734795,97,73,29.2,0,99,2.15,97,0.1,8834.87958,840926,5.1,4.7,0.843,13.4
136,ROU,Romania,Romania,2013,Developed,74.6,138,2,9.59,1230.748231,96,1159,25.3,2,88,5.6,92,0.1,9585.266593,22181287,2.7,2.9,0.794,14.7
137,RUS,Russia,Russian Federation,2013,Developing,70,229,14,10.58,1529.497771,97,2339,26.5,16,98,7.9,97,0.2,15543.67653,139390205,2.3,2.3,0.799,14.6
138,RWA,Rwanda,Rwanda,2013,Developing,65.2,233,12,0.01,11.71090655,98,17,22,17,98,7.69,98,0.5,688.8768557,11055976,5.9,5.9,0.485,10.8
139,207,Saint Kitts and Nevis,Saint Kitts and Nevis,2013,Developing,71.34,,0,8.54,0,97,0,29.7,0,96,6.14,96,0.1,16685,50328,3.7,3.6,0.749,13.4
140,187,Saint Lucia,Saint Lucia,2013,Developing,74.8,141,0,9.73,0,99,0,29.6,0,99,7.85,99,0.1,9379,177505,4.3,4.3,0.734,13.1
141,193,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2013,Developing,72.7,161,0,7.07,0,97,0,27.3,0,97,5.21,97,0.1,6639.5,108624,3.5,3.4,0.717,13.3
142,185,Samoa,Samoa,2013,Developing,73.6,131,0,0.01,698.3522786,6,0,31.7,0,62,6.91,67,0.1,4219.65123,19757,0.2,0.1,0.7,12.9
143,211,San Marino,San Marino,2013,Developing,85.42,,0,0.01,0,69,0,30.3,0,69,6.5,69,0.1,51570,32554,,,,15.1
144,186,Sao Tome and Principe,Sao Tome and Principe,2013,Developing,67.1,192,0,0.01,200.6600988,97,0,24.8,0,97,9.76,97,0.2,1619.532678,18745,5.7,5.5,0.559,11
145,SAU,Saudi Arabia,Saudi Arabia,2013,Developing,74.3,89,8,0.09,2047.113102,98,1164,28.5,9,98,4.25,98,0.1,24934.38614,29207277,7.6,7.5,0.83,15.2
146,SEN,Senegal,Senegal,2013,Developing,66,196,20,0.26,11.8385319,92,17,23,28,89,4.51,92,0.3,148.912351,14086103,9.9,9.7,0.474,8.7
147,SRB,Serbia,Serbia,2013,Developing,75.3,122,1,9.16,880.6403367,91,1,25.8,1,97,1.12,95,0.1,6353.826383,7344847,2.1,2.1,0.766,14.1
148,196,Seychelles,Seychelles,2013,Developing,72.9,172,0,0.01,1521.672751,99,0,26.8,0,98,3.58,98,0.1,15687.34795,89949,5.7,6.1,0.762,13.5
149,SLE,Sierra Leone,Sierra Leone,2013,Developing,54,47,23,0.01,1.321464076,92,15,22.8,33,92,11.59,92,0.8,71.8186998,5245695,7.7,7.6,0.413,9.3
150,SGP,Singapore,Singapore,2013,Developed,82.7,57,0,1.83,714.3441019,97,138,23.7,0,97,4.53,97,0.1,5629.18914,4701069,2.2,2.2,0.92,15.4
151,SVK,Slovakia,Slovakia,2013,Developed,76.1,114,0,9.89,0,98,0,26.5,0,98,8,98,0.1,18260,5470306,1.2,1.3,0.838,15
152,SVN,Slovenia,Slovenia,2013,Developed,85,78,0,9.53,259.7786785,0,1,26.9,0,95,9.29,95,0.1,2315.31799,2003136,1.4,1.4,0.878,16.8
153,SLB,Solomon Islands,Solomon Islands,2013,Developing,68.8,182,0,0.01,24.73328608,94,0,25.5,0,99,5.42,94,0.1,188.5159,609794,1.1,1.2,0.509,9.5
154,SOM,Somalia,Somalia,2013,Developing,54.2,318,51,0.01,0,42,3173,21.9,81,47,,42,0.8,47.5432354,10112453,6.8,6.6,,
155,ZAF,South Africa,South Africa,2013,Developing,69,371,43,7.34,978.5905287,7,25,27.3,54,73,8.78,73,4.5,6876.953821,49109107,5.4,6.5,0.652,12.8
156,SDS,South Sudan,South Sudan,2013,Developing,56.4,345,26,,47.44453,0,525,25.2,40,5,2.62,45,3.6,1186.11325,11000000,,,0.417,4.9
